상품명,카테고리,가격,실제가격,추천 성별,추천 연령대,추천 관계,추천 취미,추천 성격,추천 이벤트,이미지URL,구매링크
차량용 무선충전 거치대,디지털/IT,10만원 이상,102500,남성,40대 이상,"선생님, 배우자","음악, 사진",모험심 강함,"승진, 취업",,
클래식 가죽 다이어리 커버,문구/데스크테리어,3~5만원,36200,상관없음,20대 초반,"직장동료, 배우자, 썸","여행, 음악","SNS 좋아함, 트렌디함","승진, 감사선물",,
요가매트,취미/레저,3~5만원,48800,상관없음,30대,직장동료,"여행, 운동",모험심 강함,승진,,
마스크팩 세트,뷰티,3~5만원,45100,남성,10대,직장동료,뷰티,"로맨틱, 모험심 강함","발렌타인데이, 특별한 이유 없음",,
곡물 선물세트,식품/커피,1만원 이하,3300,남성,20대 초반,부모님,"여행, 독서",트렌디함,"크리스마스, 감사선물",,
프리미엄 실크 스카프,패션잡화,5~10만원,61900,남성,20대 후반,직장동료,"캠핑, 커피","모험심 강함, 활동적","승진, 졸업",,
바디미스트,뷰티,1~3만원,24300,남성,20대 후반,"선생님, 부모님","사진, 요리","로맨틱, SNS 좋아함","생일, 감사선물",,
데일리 드립백 커피 세트,식품/커피,1~3만원,15600,상관없음,20대 초반,"부모님, 썸, 연인","게임, 패션","모험심 강함, 로맨틱","승진, 발렌타인데이",,
클래식 디자인 트레이,리빙/인테리어,3~5만원,30100,여성,30대,"형제자매, 기타, 부모님","캠핑, 독서","모험심 강함, 로맨틱","취업, 화이트데이",,
탁상시계,문구/데스크테리어,5~10만원,85700,여성,40대 이상,"썸, 연인, 형제자매","커피, 게임","유머러스, 감성적",특별한 이유 없음,,
미니멀 레저용 백팩,취미/레저,10만원 이상,128400,남성,40대 이상,"선생님, 기타, 형제자매","캠핑, 운동","트렌디함, 감성적","졸업, 집들이",,
프리미엄 등산 스틱,취미/레저,10만원 이상,198000,여성,40대 이상,"부모님, 형제자매",운동,차분함,"승진, 화이트데이",,
미니멀 미니 향수 세트,뷰티,3~5만원,32600,상관없음,20대 초반,연인,운동,모험심 강함,"취업, 화이트데이",,
데일리 데스크 오거나이저,문구/데스크테리어,3~5만원,32400,상관없음,20대 초반,"배우자, 썸",게임,"SNS 좋아함, 모험심 강함","크리스마스, 승진",,
미니멀 탁상 캘린더,문구/데스크테리어,1만원 이하,6300,여성,40대 이상,직장동료,"요리, 사진",로맨틱,화이트데이,,
스무디 키트,식품/커피,1~3만원,28600,남성,20대 초반,직장동료,캠핑,트렌디함,"취업, 크리스마스",,
비치발리볼 세트,취미/레저,1만원 이하,7800,남성,30대,"부모님, 배우자",영화,"유머러스, 트렌디함",입학,,
클래식 쿠션 커버 세트,리빙/인테리어,1~3만원,26000,여성,10대,"부모님, 형제자매, 기타","커피, 독서",집순이/집돌이,발렌타인데이,,
미니멀 쿠션 세트,리빙/인테리어,10만원 이상,159100,남성,20대 초반,"연인, 직장동료, 배우자",영화,"모험심 강함, 트렌디함",크리스마스,,
캠핑 랜턴,취미/레저,3~5만원,31100,상관없음,10대,"배우자, 부모님, 기타","패션, 운동","활동적, 감성적","승진, 생일",,
프리미엄 메탈 자 세트,문구/데스크테리어,10만원 이상,179100,상관없음,20대 후반,"친구, 부모님","사진, 패션","활동적, 감성적","승진, 생일",,
디자인 벽시계,리빙/인테리어,1~3만원,15900,상관없음,40대 이상,썸,"캠핑, 독서","트렌디함, 차분함",졸업,,
레더 손목밴드,패션잡화,3~5만원,39700,여성,20대 후반,"형제자매, 선생님","캠핑, 독서","SNS 좋아함, 실용적",특별한 이유 없음,,
시그니처 바디로션 세트,뷰티,3~5만원,46200,상관없음,40대 이상,"직장동료, 선생님","캠핑, 뷰티","집순이/집돌이, 유머러스","승진, 화이트데이",,
미니멀 캔들워머 세트,리빙/인테리어,5~10만원,58300,여성,20대 초반,선생님,"영화, 패션",실용적,생일,,
클래식 미니 화이트보드,문구/데스크테리어,10만원 이상,171800,여성,10대,"기타, 직장동료",커피,"모험심 강함, SNS 좋아함",기념일,,
마스카라,뷰티,1만원 이하,5100,상관없음,10대,기타,게임,실용적,집들이,,
프리미엄 미니 인테리어 조명,리빙/인테리어,1만원 이하,5000,여성,20대 후반,"직장동료, 선생님",음악,"로맨틱, 모험심 강함",졸업,,
데일리 디자인 트레이,리빙/인테리어,1만원 이하,6400,여성,20대 후반,썸,캠핑,활동적,기념일,,
프리미엄 브런치 세트,식품/커피,5~10만원,85000,상관없음,20대 후반,"형제자매, 선생님","여행, 요리","로맨틱, 트렌디함",졸업,,
라탄 수납바구니,리빙/인테리어,1만원 이하,5900,여성,30대,연인,"독서, 운동",실용적,"특별한 이유 없음, 생일",,
바디스크럽,뷰티,1~3만원,18000,남성,10대,"연인, 친구",독서,유머러스,"기념일, 특별한 이유 없음",,
클래식 폴라로이드 카메라,취미/레저,3~5만원,31600,여성,30대,"부모님, 형제자매",독서,"SNS 좋아함, 활동적",감사선물,,
미니멀 드립백 커피 세트,식품/커피,1~3만원,15400,남성,30대,연인,사진,모험심 강함,집들이,,
시그니처 체인 목걸이,패션잡화,5~10만원,70200,상관없음,40대 이상,"부모님, 형제자매, 기타","요리, 영화",유머러스,"취업, 졸업",,
시그니처 미니 가습기,리빙/인테리어,1만원 이하,4800,여성,10대,"친구, 기타",요리,"활동적, 차분함","승진, 졸업",,
마스킹테이프 세트,문구/데스크테리어,10만원 이상,125200,여성,30대,기타,"패션, 음악","감성적, SNS 좋아함","감사선물, 생일",,
클래식 클라이밍 카라비너 세트,취미/레저,10만원 이상,176400,여성,30대,"기타, 연인, 부모님","사진, 운동",감성적,"기념일, 입학",,
데일리 스티커 다이어리 세트,문구/데스크테리어,1만원 이하,8100,여성,30대,"직장동료, 선생님, 연인","독서, 음악","실용적, 활동적","졸업, 크리스마스",,
프리미엄 미스트 토너,뷰티,10만원 이상,114100,여성,20대 후반,"배우자, 부모님, 기타",패션,실용적,"집들이, 기념일",,
시그니처 말차 세트,식품/커피,3~5만원,32300,남성,40대 이상,기타,운동,"집순이/집돌이, SNS 좋아함",감사선물,,
한과 세트,식품/커피,3~5만원,32800,남성,20대 초반,"직장동료, 형제자매, 부모님",요리,차분함,"화이트데이, 특별한 이유 없음",,
등산 스틱,취미/레저,1만원 이하,8400,상관없음,10대,"썸, 형제자매","음악, 커피",모험심 강함,화이트데이,,
스마트 멀티탭,디지털/IT,1~3만원,19800,상관없음,40대 이상,"직장동료, 연인, 기타","음악, 여행","차분함, 유머러스",크리스마스,,
시그니처 극세사 담요,리빙/인테리어,1만원 이하,9700,상관없음,20대 초반,"형제자매, 선생님","뷰티, 운동",SNS 좋아함,발렌타인데이,,
클라이밍 홀드 세트,취미/레저,1~3만원,27400,남성,40대 이상,썸,캠핑,모험심 강함,졸업,,
뷰티 디바이스,뷰티,3~5만원,47400,여성,20대 후반,"기타, 부모님","캠핑, 사진",집순이/집돌이,기념일,,
클래식 뷰티 파우치 세트,뷰티,1만원 이하,7300,여성,10대,"형제자매, 직장동료","커피, 패션",실용적,발렌타인데이,,
클래식 미니 텐트,취미/레저,5~10만원,72200,여성,30대,"선생님, 직장동료, 친구","커피, 독서",로맨틱,"감사선물, 특별한 이유 없음",,
시그니처 캘리그라피 펜 세트,문구/데스크테리어,5~10만원,50100,상관없음,40대 이상,친구,음악,실용적,집들이,,
클래식 캔버스 에코백,패션잡화,10만원 이상,199500,남성,30대,"친구, 썸","독서, 패션","실용적, 로맨틱","졸업, 기념일",,
실크 행커치프,패션잡화,3~5만원,42900,남성,20대 초반,"직장동료, 기타, 선생님","요리, 패션","집순이/집돌이, SNS 좋아함","취업, 졸업",,
가죽 벨트지갑,패션잡화,1만원 이하,6800,여성,20대 후반,"선생님, 부모님, 친구","독서, 게임","로맨틱, 실용적","특별한 이유 없음, 기념일",,
프리미엄 도장 세트,문구/데스크테리어,1만원 이하,4900,남성,10대,"친구, 기타, 선생님","요리, 운동","모험심 강함, 활동적",크리스마스,,
건강즙 세트,식품/커피,5~10만원,77600,여성,10대,부모님,"커피, 여행",모험심 강함,"기념일, 감사선물",,
미니멀 곶감 선물세트,식품/커피,1~3만원,22500,여성,20대 초반,직장동료,"커피, 운동","실용적, 트렌디함",감사선물,,
원두 선물세트,식품/커피,1~3만원,19200,남성,30대,"친구, 선생님, 연인",뷰티,로맨틱,생일,,
클래식 블루투스 위치추적기,디지털/IT,10만원 이상,124500,여성,30대,기타,"캠핑, 영화",감성적,"집들이, 졸업",,
프리미엄 만년필 세트,문구/데스크테리어,1~3만원,24500,여성,10대,"친구, 직장동료",여행,"SNS 좋아함, 로맨틱",크리스마스,,
직소퍼즐 1000피스,취미/레저,3~5만원,48700,상관없음,20대 초반,"기타, 선생님",요리,유머러스,"특별한 이유 없음, 크리스마스",,
아로마 캔들 세트,리빙/인테리어,1만원 이하,9800,상관없음,30대,"썸, 배우자, 형제자매","영화, 사진","SNS 좋아함, 차분함","크리스마스, 화이트데이",,
캠핑 침낭,취미/레저,5~10만원,56500,상관없음,10대,부모님,운동,"차분함, 유머러스",특별한 이유 없음,,
시그니처 메탈 자 세트,문구/데스크테리어,3~5만원,44000,상관없음,40대 이상,연인,"요리, 여행","실용적, SNS 좋아함","졸업, 특별한 이유 없음",,
클래식 핸드크림 세트,뷰티,5~10만원,77000,상관없음,40대 이상,"부모님, 직장동료","커피, 독서",집순이/집돌이,감사선물,,
데일리 휴대용 핫팩 충전기,디지털/IT,1~3만원,15400,여성,20대 초반,"기타, 친구",사진,"SNS 좋아함, 유머러스",생일,,
클래식 치즈 선물세트,식품/커피,5~10만원,70400,상관없음,20대 후반,"친구, 형제자매, 기타","사진, 영화","유머러스, 집순이/집돌이",집들이,,
미니멀 가죽 팔찌,패션잡화,10만원 이상,144800,상관없음,20대 후반,"친구, 부모님","독서, 게임",감성적,특별한 이유 없음,,
프리미엄 디자인 머그컵 세트,리빙/인테리어,5~10만원,61500,상관없음,10대,"배우자, 부모님","요리, 영화","감성적, 트렌디함","승진, 집들이",,
미니멀 티 컬렉션,식품/커피,10만원 이상,102100,상관없음,30대,"기타, 부모님, 친구","음악, 캠핑",로맨틱,"입학, 감사선물",,
프리미엄 등산 스틱 가방,취미/레저,1~3만원,25000,남성,10대,"연인, 배우자, 기타","독서, 게임",차분함,"생일, 집들이",,
미니 다트보드,취미/레저,1~3만원,18400,남성,40대 이상,"형제자매, 기타","요리, 캠핑",모험심 강함,"생일, 승진",,
프리미엄 직소퍼즐 1000피스,취미/레저,1만원 이하,6500,상관없음,30대,부모님,게임,모험심 강함,화이트데이,,
시그니처 수제청 세트,식품/커피,10만원 이상,121900,상관없음,10대,형제자매,운동,활동적,"입학, 생일",,
자전거 헬멧,취미/레저,10만원 이상,174000,여성,30대,썸,"사진, 요리",유머러스,발렌타인데이,,
시그니처 브런치 세트,식품/커피,10만원 이상,124800,여성,40대 이상,"부모님, 직장동료","뷰티, 음악","실용적, 로맨틱","입학, 발렌타인데이",,
시그니처 실버 귀걸이,패션잡화,1~3만원,20400,남성,10대,부모님,"여행, 캠핑",집순이/집돌이,"취업, 특별한 이유 없음",,
미니 화이트보드,문구/데스크테리어,3~5만원,32400,남성,40대 이상,"직장동료, 기타","사진, 여행",모험심 강함,"화이트데이, 입학",,
데일리 인체공학 마우스,디지털/IT,3~5만원,39000,상관없음,20대 초반,썸,"영화, 커피",차분함,취업,,
데일리 엽서 세트,문구/데스크테리어,10만원 이상,147800,여성,30대,"친구, 배우자, 연인","운동, 여행","로맨틱, 차분함","발렌타인데이, 기념일",,
유기농 차 세트,식품/커피,10만원 이상,168900,여성,40대 이상,"선생님, 연인","커피, 독서",유머러스,"감사선물, 취업",,
디자인 시계,리빙/인테리어,5~10만원,53100,상관없음,40대 이상,"친구, 선생님, 부모님",음악,감성적,크리스마스,,
미니멀 폴라로이드 카메라,취미/레저,1~3만원,12700,상관없음,30대,"기타, 배우자, 부모님",영화,"트렌디함, 실용적","감사선물, 화이트데이",,
프리미엄 디자인 향초,뷰티,3~5만원,34800,여성,30대,"직장동료, 선생님",뷰티,감성적,승진,,
시그니처 미니 인테리어 조명,리빙/인테리어,5~10만원,57100,상관없음,10대,친구,"영화, 사진","활동적, 트렌디함",크리스마스,,
톤업 선크림,뷰티,3~5만원,37100,남성,30대,"친구, 선생님, 썸",게임,"로맨틱, 트렌디함","특별한 이유 없음, 승진",,
프리미엄 인덱스 클립 세트,문구/데스크테리어,1~3만원,11900,여성,20대 초반,"부모님, 배우자, 친구",음악,SNS 좋아함,생일,,
디자인 트레이,리빙/인테리어,5~10만원,52500,상관없음,10대,배우자,음악,"유머러스, 차분함","집들이, 생일",,
프리미엄 쿠션 커버 세트,리빙/인테리어,5~10만원,58500,남성,10대,"형제자매, 연인, 부모님","여행, 음악","모험심 강함, 로맨틱","크리스마스, 화이트데이",,
시그니처 헤어 액세서리 세트,패션잡화,3~5만원,42300,상관없음,20대 초반,형제자매,사진,"로맨틱, 감성적","특별한 이유 없음, 승진",,
베이커리 선물세트,식품/커피,10만원 이상,116800,남성,20대 후반,"친구, 배우자","커피, 음악","집순이/집돌이, 활동적","졸업, 취업",,
태블릿 거치대,디지털/IT,1만원 이하,7900,남성,40대 이상,직장동료,뷰티,"유머러스, 실용적",승진,,
시그니처 보조배터리,디지털/IT,5~10만원,64600,여성,10대,"썸, 연인",운동,"실용적, 유머러스",기념일,,
시그니처 스마트 무드조명,디지털/IT,1만원 이하,4900,여성,30대,"선생님, 친구, 부모님",영화,"유머러스, 감성적",승진,,
클래식 식물 워터링캔,리빙/인테리어,5~10만원,61100,남성,10대,선생님,"음악, 요리","실용적, 집순이/집돌이","취업, 특별한 이유 없음",,
보드게임 세트,취미/레저,5~10만원,88200,남성,20대 후반,썸,"운동, 뷰티","SNS 좋아함, 실용적",입학,,
와인 1병,식품/커피,1만원 이하,3600,남성,10대,"썸, 배우자","여행, 패션","집순이/집돌이, 유머러스","생일, 감사선물",,
시그니처 쿠션 파운데이션,뷰티,1만원 이하,9400,남성,30대,"선생님, 연인","패션, 음악","활동적, 감성적","졸업, 크리스마스",,
브런치 세트,식품/커피,1~3만원,11400,여성,20대 후반,"형제자매, 연인, 친구",뷰티,모험심 강함,감사선물,,
가죽 펜케이스,문구/데스크테리어,1만원 이하,5300,상관없음,30대,"직장동료, 친구","운동, 영화","활동적, 유머러스",집들이,,
미니 빔프로젝터,디지털/IT,1~3만원,27200,상관없음,10대,"직장동료, 친구",캠핑,"감성적, 유머러스",발렌타인데이,,
프리미엄 책상 정리함,문구/데스크테리어,1~3만원,20300,상관없음,20대 초반,선생님,뷰티,"집순이/집돌이, 활동적","집들이, 특별한 이유 없음",,
프리미엄 미니 텐트,취미/레저,5~10만원,79600,상관없음,30대,"기타, 친구","음악, 운동",로맨틱,기념일,,
미니 파우치,패션잡화,5~10만원,81700,남성,40대 이상,기타,사진,감성적,입학,,
데일리 티 컬렉션,식품/커피,3~5만원,46800,상관없음,20대 초반,친구,커피,로맨틱,승진,,
미니멀 수제 그래놀라,식품/커피,10만원 이상,195700,상관없음,20대 초반,"직장동료, 썸, 형제자매",사진,"로맨틱, 차분함","집들이, 취업",,
프리미엄 마스킹테이프 세트,문구/데스크테리어,5~10만원,84200,남성,20대 초반,부모님,게임,실용적,"감사선물, 기념일",,
미니멀 치즈 선물세트,식품/커피,1~3만원,16100,여성,20대 후반,"형제자매, 직장동료","운동, 사진",SNS 좋아함,발렌타인데이,,
데일리 마스킹테이프 세트,문구/데스크테리어,5~10만원,56700,상관없음,10대,"형제자매, 직장동료, 친구",커피,실용적,"생일, 화이트데이",,
클래식 수제청 세트,식품/커피,10만원 이상,146800,상관없음,30대,"연인, 기타","게임, 독서","활동적, SNS 좋아함",크리스마스,,
자전거 라이트 세트,취미/레저,1~3만원,10200,남성,20대 후반,"배우자, 기타, 형제자매",여행,"실용적, 유머러스","화이트데이, 크리스마스",,
마카롱 세트,식품/커피,1만원 이하,3900,상관없음,10대,형제자매,"캠핑, 패션",트렌디함,"승진, 기념일",,
프리미엄 자전거 헬멧,취미/레저,3~5만원,42900,상관없음,30대,"기타, 선생님, 연인",패션,"모험심 강함, 유머러스","특별한 이유 없음, 발렌타인데이",,
가죽 키링,패션잡화,1만원 이하,7400,남성,10대,배우자,"음악, 요리",유머러스,"졸업, 특별한 이유 없음",,
뷰티 파우치 세트,뷰티,5~10만원,95000,여성,30대,"썸, 친구, 직장동료","영화, 캠핑",SNS 좋아함,화이트데이,,
미니멀 손목시계,패션잡화,1~3만원,17200,남성,40대 이상,"기타, 연인",뷰티,"트렌디함, SNS 좋아함","크리스마스, 승진",,
시그니처 폴딩 낚시의자,취미/레저,3~5만원,43900,여성,20대 후반,"친구, 배우자","사진, 영화",트렌디함,"특별한 이유 없음, 취업",,
클래식 북엔드 세트,리빙/인테리어,1만원 이하,9700,여성,30대,"배우자, 형제자매, 직장동료","독서, 뷰티",SNS 좋아함,발렌타인데이,,
클래식 디자인 다이어리,문구/데스크테리어,1~3만원,26900,여성,20대 초반,"부모님, 배우자, 연인","음악, 요리","감성적, 실용적",생일,,
가죽 벨트,패션잡화,3~5만원,36700,여성,20대 초반,기타,독서,"모험심 강함, 감성적",입학,,
디저트 선물세트,식품/커피,1~3만원,29000,상관없음,20대 후반,"연인, 직장동료, 부모님","커피, 게임",로맨틱,집들이,,
블루투스 키보드,디지털/IT,5~10만원,63900,여성,10대,직장동료,영화,"모험심 강함, 로맨틱",졸업,,
프리미엄 미니 드론,취미/레저,1만원 이하,7300,여성,20대 초반,"직장동료, 연인",운동,모험심 강함,크리스마스,,
클래식 캠핑 랜턴,취미/레저,3~5만원,42900,여성,20대 초반,"기타, 부모님","패션, 여행","SNS 좋아함, 감성적","화이트데이, 입학",,
클래식 립스틱 세트,뷰티,10만원 이상,192700,여성,40대 이상,부모님,"캠핑, 음악",차분함,승진,,
데일리 실크 스카프,패션잡화,10만원 이상,184900,남성,30대,"형제자매, 친구, 기타","패션, 게임","모험심 강함, 활동적",크리스마스,,
보조배터리,디지털/IT,1만원 이하,3000,남성,40대 이상,"선생님, 부모님, 배우자",음악,"트렌디함, 유머러스","발렌타인데이, 집들이",,
아이섀도 팔레트,뷰티,1~3만원,26300,여성,20대 초반,썸,음악,활동적,화이트데이,,
북유럽풍 러그,리빙/인테리어,1~3만원,28900,상관없음,20대 초반,"기타, 선생님",음악,"모험심 강함, 집순이/집돌이","크리스마스, 입학",,
데일리 비치발리볼 세트,취미/레저,5~10만원,78700,여성,10대,"썸, 직장동료, 선생님",커피,감성적,"생일, 발렌타인데이",,
티 컬렉션,식품/커피,3~5만원,43900,상관없음,20대 후반,"형제자매, 친구","사진, 뷰티",감성적,집들이,,
미니멀 무선 충전기,디지털/IT,3~5만원,44900,여성,20대 후반,"연인, 배우자",요리,감성적,생일,,
원목 명함꽂이,문구/데스크테리어,5~10만원,72000,여성,40대 이상,"선생님, 기타, 형제자매","캠핑, 뷰티","모험심 강함, 집순이/집돌이",승진,,
메모지 세트,문구/데스크테리어,1~3만원,17800,남성,30대,형제자매,"독서, 패션","모험심 강함, 유머러스","크리스마스, 발렌타인데이",,
탁상 캘린더,문구/데스크테리어,1~3만원,19100,상관없음,20대 초반,기타,뷰티,감성적,취업,,
프리미엄 니트 장갑,패션잡화,1~3만원,27000,남성,20대 초반,형제자매,영화,"모험심 강함, 로맨틱",특별한 이유 없음,,
미니멀 미니 텐트,취미/레저,1~3만원,29900,여성,20대 초반,형제자매,패션,"활동적, 실용적",화이트데이,,
데일리 블루투스 키보드,디지털/IT,5~10만원,99800,남성,20대 후반,기타,"뷰티, 패션","집순이/집돌이, 감성적",기념일,,
프리미엄 스마트 플러그,디지털/IT,10만원 이상,188500,상관없음,20대 초반,형제자매,영화,SNS 좋아함,"발렌타인데이, 화이트데이",,
편광 선글라스,패션잡화,3~5만원,40500,여성,30대,배우자,"여행, 요리",집순이/집돌이,"감사선물, 크리스마스",,
미니멀 견과류 선물세트,식품/커피,1만원 이하,8200,여성,40대 이상,"형제자매, 직장동료","독서, 영화",집순이/집돌이,기념일,,
프리미엄 립글로스 세트,뷰티,1만원 이하,6400,남성,10대,선생님,"사진, 뷰티","활동적, SNS 좋아함",기념일,,
USB 멀티허브,디지털/IT,5~10만원,69500,여성,20대 초반,배우자,"캠핑, 뷰티","트렌디함, 유머러스",생일,,
헤어트리트먼트 세트,뷰티,3~5만원,42000,상관없음,30대,"친구, 형제자매, 연인","여행, 독서","활동적, 로맨틱",취업,,
프리미엄 블루투스 미니 스피커,디지털/IT,10만원 이상,183600,여성,10대,"기타, 썸",여행,"유머러스, 차분함","입학, 발렌타인데이",,
시그니처 스마트 플러그,디지털/IT,5~10만원,67900,상관없음,40대 이상,"부모님, 배우자",여행,트렌디함,발렌타인데이,,
프리미엄 크로스백,패션잡화,1만원 이하,5800,상관없음,10대,"배우자, 썸","여행, 게임",집순이/집돌이,"크리스마스, 취업",,
프리미엄 블루투스 이어폰,디지털/IT,5~10만원,70400,남성,10대,부모님,뷰티,"로맨틱, 트렌디함","화이트데이, 졸업",,
클래식 와인 1병,식품/커피,10만원 이상,188500,여성,40대 이상,"썸, 부모님","뷰티, 여행",집순이/집돌이,"화이트데이, 입학",,
클래식 립밤 세트,뷰티,1~3만원,18900,남성,20대 후반,"연인, 선생님",캠핑,감성적,발렌타인데이,,
